Report sulle campagne
1 luglio 2026 - 24 luglio 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Click-to-call,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme; apprendimento della strategia di offerta,0,"0,00",0, --,0, --,"83,14",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme; apprendimento della strategia di offerta,0,"74,60",0, --,0, --,"83,14",Massimizza il valore di conversione,0, --,"3,00",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme; apprendimento della strategia di offerta,0,"0,00",0, --,0, --,"83,14",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino revenue via Call,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"80,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme; apprendimento della strategia di offerta,0,"27,25",0, --,0, --,"83,14",Massimizza il valore di conversione,0, --,"1,00",0,0, --, --,0, --
Purchase,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"4.522,08",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"10,50",0,0, --, --,0, --
Booking GMV,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Conversazione avviata,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),i problemi relativi ai dati sulle conversioni offline influiscono sul rendimento; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"83,47",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
