Report sulle campagne
1 luglio 2026 - 9 agosto 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Click-to-call,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),limitato dal budget; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"87,71",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),limitato dal budget; la maggior parte dei gruppi di asset è limitata dalle norme,0,"253,48",0, --,0, --,"87,71",Massimizza il valore di conversione,0, --,"11,01",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),limitato dal budget; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"87,71",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Conversazione avviata,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),limitato dal budget; la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"87,71",Massimizza il valore di conversione,0, --,"0,00",0,0, --, --,0, --
Niino revenue via Call,Attivata,PMAX | ITALIA | AEREO | PURCHASE |,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),limitato dal budget; la maggior parte dei gruppi di asset è limitata dalle norme,0,"27,25",0, --,0, --,"87,71",Massimizza il valore di conversione,0, --,"1,00",0,0, --, --,0, --
Purchase,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"77,94",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"77,94",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Revenue,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),la maggior parte dei gruppi di asset è limitata dalle norme,0,"4.920,16",0, --,0, --,"77,94",CPA target,0, --,"15,83",0,0, --, --,0, --
Booking GMV,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"77,94",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,PMAX | ITALIA | AMBULANZA | PURCHASE | APP,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),la maggior parte dei gruppi di asset è limitata dalle norme,0,"0,00",0, --,0, --,"77,94",CPA target,0, --,"0,00",0,0, --, --,0, --
