Report sulle campagne
1 luglio 2026 - 9 agosto 2026
Azione di conversione,Stato della campagna,Campagna,Budget,Nome budget,Tipo di budget,Codice valuta,Stato,Motivi dello stato,Costo,Valore conv.,Valore conv./costo,Quota impr. rete di ricerca,Impressioni,CTR,Punteggio di ottimizzazione,Tipo di strategia di offerta,Clic,Tasso conv.,Conversioni,CPC medio,Costo/conv.,QI persa rete di ricerca (ranking),QI persa rete di ricerca (budget),Durata media del coinvolgimento per sessione (in secondi) (GA4),QI superiore sulla rete di ricerca
Click-to-call,Attivata,SEARCH | CHIAMATA | LUNGA PERCORRENZA |  SARDEGNA,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"52,50",0, --,0, --,"70,63",CPA target,0, --,"52,50",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | CHIAMATA | LUNGA PERCORRENZA |  SARDEGNA,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"28,00",0, --,0, --,"70,63",CPA target,0, --,"28,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | CHIAMATA | LUNGA PERCORRENZA |  SARDEGNA,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"70,63",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | CHIAMATA | LUNGA PERCORRENZA |  SARDEGNA,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"70,63",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | CHIAMATA | LUNGA PERCORRENZA |  SARDEGNA,"130,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"70,63",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | PALERMO,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"19,00",0, --,0, --,"61,64",CPA target,0, --,"19,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | PALERMO,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"18,00",0, --,0, --,"61,64",CPA target,0, --,"18,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | PALERMO,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | PALERMO,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | PALERMO,"50,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | TORINO,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"33,47",0, --,0, --,"64,54",CPA target,0, --,"33,47",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | TORINO,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"39,00",0, --,0, --,"64,54",CPA target,0, --,"39,00",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | TORINO,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | TORINO,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | TORINO,"100,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"64,54",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | AGRIGENTO,"50,00", --,Ogni giorno,EUR,Idoneo,,0,"6,00",0, --,0, --,"53,64",Massimizza conversioni,0, --,"6,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | AGRIGENTO,"50,00", --,Ogni giorno,EUR,Idoneo,,0,"1,00",0, --,0, --,"53,64",Massimizza conversioni,0, --,"1,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | VARESE 2,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"8,00",0, --,0, --,"61,64",CPA target,0, --,"8,00",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | VARESE 2,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"11,50",0, --,0, --,"61,64",CPA target,0, --,"11,50",0,0, --, --,0, --
Niino Revenue,Attivata,SEARCH | AMBULANZA | CHIAMATA | VARESE 2,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Booking GMV,Attivata,SEARCH | AMBULANZA | CHIAMATA | VARESE 2,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Niino Sign-up,Attivata,SEARCH | AMBULANZA | CHIAMATA | VARESE 2,"120,00", --,Ogni giorno,EUR,Idoneo (limitato),volume di ricerca limitato,0,"0,00",0, --,0, --,"61,64",CPA target,0, --,"0,00",0,0, --, --,0, --
Click-to-call,Attivata,SEARCH | AMBULANZA | CHIAMATA | PUGLIA,"200,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"88,34",0, --,0, --,"58,56",CPA target,0, --,"88,33",0,0, --, --,0, --
Calls from ads,Attivata,SEARCH | AMBULANZA | CHIAMATA | PUGLIA,"200,00", --,Ogni giorno,EUR,Idoneo (limitato),limitata dal tipo di strategia di offerta; volume di ricerca limitato,0,"69,47",0, --,0, --,"58,56",CPA target,0, --,"69,47",0,0, --, --,0, --
